mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,step_id,workunit_id,class
4,0,15,2,2,2,0,1,4,4,0,0,0,0,0,0,0,0,6.884681583476764,0.0,25.817555938037867,3.442340791738382,3.442340791738382,3.442340791738382,0.0,1.721170395869191,6.884681583476764,6.884681583476764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581,0.0,0,1,0,0,0,09de598a-b793-4d80-8aed-9a61bda195c7#1a10ad64-6de4-4097-92ec-cfd54b7c3bc9#18c1006be,1470,Amounts - 4/11,Reliable
6,1,15,2,2,2,0,1,4,4,0,0,0,0,0,0,0,0,17.80415430267062,2.9673590504451037,44.51038575667656,5.9347181008902075,5.9347181008902075,5.9347181008902075,0.0,2.9673590504451037,11.869436201780417,11.869436201780417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337,0.0,0,0,0,1,0,240a0b7a-0698-4085-bb06-586d17a43128#3d32e6e3-aecb-4df4-a71d-22b14ebfb4e4#1f4e20ece,1470,Table - 4/7,Reliable
4,1,14,2,2,2,0,0,4,4,0,0,0,0,0,0,0,0,14.814814814814811,3.7037037037037033,51.85185185185185,7.4074074074074066,7.4074074074074066,7.4074074074074066,0.0,0.0,14.814814814814811,14.814814814814811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0,0,0,1,0,240a0b7a-0698-4085-bb06-586d17a43128#3d32e6e3-aecb-4df4-a71d-22b14ebfb4e4#1f4e20ece,1470,Table - 5/7,Reliable
4,0,14,2,2,2,0,0,4,4,0,0,0,0,0,0,0,0,12.5,0.0,43.75,6.25,6.25,6.25,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0,0,0,1,0,240a0b7a-0698-4085-bb06-586d17a43128#3d32e6e3-aecb-4df4-a71d-22b14ebfb4e4#1f4e20ece,1470,Table - 6/7,Reliable
6,0,8,1,1,1,0,1,2,2,0,0,0,0,0,0,0,0,14.598540145985403,0.0,19.464720194647203,2.4330900243309004,2.4330900243309004,2.4330900243309004,0.0,2.4330900243309004,4.866180048661801,4.866180048661801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411,0.0,0,0,0,1,0,2bb66dd4-c23c-4899-887d-b51b1cc1e9d1#28ff8f08-fb82-4794-93ee-052d9f44f0e5#1169f344d,1470,Table - 6/7,Reliable
6,1,14,2,2,2,0,0,4,4,0,0,0,0,0,0,0,0,17.543859649122805,2.923976608187134,40.93567251461988,5.847953216374268,5.847953216374268,5.847953216374268,0.0,0.0,11.695906432748536,11.695906432748536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342,0.0,0,0,0,1,0,3ae55c53-f91d-4303-94ae-328b60f4da69#11bb1481-f0a1-4138-9b6d-7dad5773cc4d#1f4e20ece,1470,Table - 3/7,Reliable
6,1,13,2,2,1,0,0,4,4,0,0,0,0,0,0,0,0,14.319809069212411,2.3866348448687353,31.026252983293556,4.773269689737471,4.773269689737471,2.3866348448687353,0.0,0.0,9.54653937947494,9.54653937947494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419,0.0,0,0,0,1,0,3ae55c53-f91d-4303-94ae-328b60f4da69#11bb1481-f0a1-4138-9b6d-7dad5773cc4d#1f4e20ece,1470,Table - 4/7,Reliable
5,1,17,3,3,2,0,1,4,4,0,0,0,0,0,0,0,0,11.061946902654867,2.2123893805309733,37.610619469026545,6.6371681415929205,6.6371681415929205,4.424778761061947,0.0,2.2123893805309733,8.849557522123893,8.849557522123893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452,0.0,0,0,0,1,0,3ae55c53-f91d-4303-94ae-328b60f4da69#11bb1481-f0a1-4138-9b6d-7dad5773cc4d#1f4e20ece,1470,Table - 5/7,Reliable
3,0,8,1,1,1,0,1,2,2,0,0,0,0,0,0,0,0,8.450704225352114,0.0,22.535211267605636,2.8169014084507045,2.8169014084507045,2.8169014084507045,0.0,2.8169014084507045,5.633802816901409,5.633802816901409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355,0.0,0,1,0,0,0,3KLL7H3EGDDKALTJZFG2PL3EPNTVHV#30c26541-aff6-42cc-8f3e-48806b10f6a3#1A1WY44WM6HN8LI,1468,Amounts - 4/11,Reliable
3,0,8,1,1,1,0,1,2,2,0,0,0,0,0,0,0,0,6.960556844547564,0.0,18.561484918793504,2.320185614849188,2.320185614849188,2.320185614849188,0.0,2.320185614849188,4.640371229698376,4.640371229698376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431,0.0,0,1,0,0,0,3NRZ1LDP7WITWMWHJPDAJ0I1ZOUPZD#0f16c2b8-9495-475a-bbe2-ffc67d1d4773#1A16QSLLZ1T5CKY,1468,Amounts - 5/11,Reliable
